symbol,formula,volume_limit,contract_size,type
LTCBTC_cl,lots,5,100,Cryptocurrencies
LTCUSD_cl,lots,5,100,Cryptocurrencies
MKRUSD_cl,lots,5,1,TMP
MNAUSD_cl,lots,5,10000,Cryptocurrencies
MSKUSD_cl,lots,5,1000,Cryptocurrencies
NEAUSD_cl,lots,5,1000,Cryptocurrencies
NEOUSD_cl,lots,5,100,Cryptocurrencies
OMGUSD_cl,lots,5,1000,TMP
QTMUSD_cl,lots,5,1000,Cryptocurrencies
REFUSD_cl,lots,5,1000000,TMP
SNDUSD_cl,lots,5,10000,Cryptocurrencies
SOLUSD_cl,lots,5,100,Cryptocurrencies
STRUSD_cl,lots,5,10000,Cryptocurrencies
STXUSD_cl,lots,5,1000,Cryptocurrencies
THTUSD_cl,lots,5,1000,Cryptocurrencies
TRXUSD_cl,lots,5,10000,Cryptocurrencies
UNIUSD_cl,lots,5,100,Cryptocurrencies
VETUSD_cl,lots,5,100000,Cryptocurrencies
WAVUSD_cl,lots,5,100,TMP
XLMUSD_cl,lots,5,10000,Cryptocurrencies
XMRBTC_cl,lots,5,100,TMP
XMRUSD_cl,lots,5,100,TMP
XRPUSD_cl,lots,5,10000,Cryptocurrencies
XTZUSD_cl,lots,5,1000,Cryptocurrencies
YFIUSD_cl,lots,5,1,Cryptocurrencies
YGGUSD_cl,lots,5,1000,Cryptocurrencies
ZECBTC_cl,lots,5,100,Cryptocurrencies
ZECUSD_cl,lots,5,10,Cryptocurrencies
ZILUSD_cl,lots,5,10000,Cryptocurrencies
COCOA_cl,lots,5,1,Agriculture
COFFEE_cl,lots,5,10,Agriculture
CORN_cl,lots,5,4,Agriculture
SOYBEAN_cl,lots,5,4,Agriculture
WHEAT_cl,lots,5,4,Agriculture
NZDUSD_o,lots,5,100000,Forex
EURUSD_o,lots,5,100000,Forex
AUDUSD_o,lots,5,100000,Forex
GBPUSD_o,lots,5,100000,Forex
USDCAD_o,lots,5,100000,Forex
USDCHF_o,lots,5,100000,Forex
